parse_str,freq,ss_type,meaning,ss_type2,examples
NT|VV,12721,s,time:0:1,half_sentence,[]
NN|CD|M,1272,s,-,half_sentence,[]
VV,1272,s,-,half_sentence,[]
VV|NN,1272,s,dobj:0:1,half_sentence,[]
VC|NN,1272,s,-,half_sentence,[]
PP,1272,s,-,phrase,[]
NN,9034,s,-,phrase,[]
NN,34,q,-,phrase,[]
JJ,13166,s,-,phrase,[]
AD,14,s,-,phrase,[]
NN|VV|NN,15088,s,"nsubj:0:1,dobj:1:2",sentence,[]
NN|VC|NN,7065,s,-,sentence,[]
NN|VV,1272,s,-,sentence,[]
NN|JJ,1272,s,amod:1:0,sentence,[]
NN|VC|CD|M,13198,s,-,sentence,[]
SS|吗,200,q,-,inherit,[]
SS|吧,300,s,-,inherit,[]
NN|怎么|VV,19254,q,,sentence,"[""离婚|程序|怎么|走"", ""王者|荣耀|怎么|设置"", ""京东|快车|怎么|充值"", ""微信小|程序|怎么|用"", ""白色汽车|划痕|怎么|处理""]"
NN|VV|NN,13633,q,,sentence,"[""咪咕|视频|定向|流量"", ""word|左侧|显示|大纲"", ""刘亦菲|给谁|当过|伴娘"", ""怀孕|初期|有|褐色分泌物"", ""泰国|自由|行|攻略及费用""]"
NN|VV|什么|NN,8997,q,,sentence,"[""2017|有|什么|好看的小说"", ""黄晶石|提升|什么|属性"", ""呼吸声|重是|什么|原因"", ""青蛙|吃|什么|害虫"", ""北瓜|是|什么|瓜""]"
NN|怎么|VV|NN,8229,q,,sentence,"[""优酷|怎么|下载|视频"", ""ipad|怎么|清除|缓存"", ""ps|怎么|去除|水印"", ""wps|怎么|删除|页面"", ""酷狗|怎么|合成|音乐""]"
NN|VV,8041,q,,sentence,"[""脱毛|医院|哪家好"", ""b站|手机|解绑"", ""775针cpu|性能|排行"", ""军校|视力|要求"", ""lol|帐号|暂时无法登录""]"
NN|怎么样,5737,q,,sentence,"[""海信|电视|怎么样"", ""太平|车险|怎么样"", ""景龙|小学|怎么样"", ""dw|手表|怎么样"", ""泰康|人寿|怎么样""]"
VV|NN,5311,q,,sentence,"[""傲斗凌天|2.79|攻略"", ""开|服装店|流程"", ""让|胸|变小的正确方法"", ""破解|微信|密码"", ""禁用|笔记本|键盘""]"
如何|VV|NN,5242,q,,sentence,"[""如何|发|海参"", ""如何|种|草莓"", ""如何|删除|尾注"", ""如何|制作|小程序"", ""如何|做|酸奶""]"
NN|VV|什么,4555,q,,sentence,"[""npm|是|什么"", ""人类的本质|是|什么"", ""无线遥控自慰震蛋的英文|是|什么"", ""春娇与志明|表达了|什么"", ""ejb|是|什么""]"
